id,requirement,compliancy,remarks,customer_remarks,customer_acceptance
REQ-001,"The system shall authenticate all users before granting access to protected resources.",Compliant,"Verified with SSO integration test on 2025-03-10.","Authentication works as expected. No issues observed during UAT.",Accepted
REQ-002,"All data transmissions must use TLS 1.2 or higher encryption.",Compliant,,"We confirmed TLS 1.3 is used on all endpoints. Satisfactory.",Accepted
REQ-003,"The application must provide an audit log of all administrative actions with timestamps.",Partial,"Logging is in place but timestamps are missing timezone info.","Audit logs are present but the missing timezone causes confusion when correlating with our own logs. Please resolve before go-live.",Conditional
REQ-004,"Password policy must enforce a minimum length of 12 characters including special characters.",Non-Compliant,"Currently enforcing 8 characters. Ticket #4421 open.","This is a blocker for us. Our security policy requires 12+ characters minimum. Cannot accept delivery until resolved.",Rejected
REQ-005,"System must support multi-factor authentication for all privileged accounts.",Compliant,,"MFA tested and working with both TOTP and hardware keys. Approved.",Accepted
REQ-006,"Backup and recovery procedures must be documented and tested quarterly.",N/A,"Handled by infrastructure team, out of scope.",,
REQ-007,"All API endpoints must validate and sanitize input to prevent injection attacks.",Non-Compliant,"Legacy endpoint /api/v1/query not yet updated. Sprint 42.","We ran a basic penetration test and confirmed the vulnerability. This must be fixed before production deployment.",Rejected
REQ-008,"The system must lock accounts after 5 consecutive failed authentication attempts.",Compliant,,"Tested and confirmed. Lockout triggers correctly and unlock procedure is clear.",Accepted
REQ-009,"Session tokens must expire after 30 minutes of inactivity.",Partial,"Timeout implemented but not enforced for API sessions.","Web sessions time out correctly. However our integration team noticed API sessions remain active indefinitely. Needs to be fixed.",Pending
REQ-010,"All sensitive data fields must be masked in application logs.",Non-Compliant,"Credit card numbers still appear in debug logs. PR #891 in review.","We discovered this during log review. Unacceptable for PCI compliance. High priority fix required.",Rejected
REQ-011,"The application must comply with GDPR data retention policies.",Compliant,"Retention policy enforced via scheduled cleanup job.","Reviewed the cleanup job configuration and data flow. Compliant with our GDPR obligations.",Accepted
REQ-012,"Role-based access control must be enforced for all resource types.",Compliant,,"RBAC verified across all tested resource types. Works as specified.",Accepted
REQ-013,"The system must provide a mechanism for users to export their personal data.",N/A,"Feature not applicable to this deployment context.",,
REQ-014,"All third-party dependencies must be scanned for known vulnerabilities monthly.",Partial,"Scanning in place but remediation SLA not yet defined.","Scanning is good but we need a defined SLA for remediation. Please provide a written policy document.",Conditional
REQ-015,"Error messages must not expose internal system details to end users.",Non-Compliant,"Stack traces visible in production for unhandled exceptions.","We reproduced this on the staging environment. Stack traces reveal internal paths and library versions. Must be fixed.",Rejected
